country,year,flfp
DE,2009,72.7
DE,2010,73.2
DE,2011,74.1
DE,2012,74.3
DE,2013,75.0
DE,2014,75.4
DE,2015,75.6
DE,2016,76.2
DE,2017,76.6
DE,2018,77.0
DE,2019,77.7
DE,2020,77.0
DE,2021,78.3
DE,2022,79.2
DE,2023,79.6
DE,2024,80.0
DE,2025,80.5
ES,2009,68.9
ES,2010,70.1
ES,2011,71.3
ES,2012,72.4
ES,2013,72.9
ES,2014,73.1
ES,2015,73.4
ES,2016,73.7
ES,2017,73.4
ES,2018,73.2
ES,2019,73.7
ES,2020,72.5
ES,2021,74.4
ES,2022,74.6
ES,2023,75.7
ES,2024,75.8
ES,2025,76.5
NL,2009,75.0
NL,2010,75.4
NL,2011,75.9
NL,2012,77.0
NL,2013,77.5
NL,2014,77.0
NL,2015,77.8
NL,2016,78.0
NL,2017,78.4
NL,2018,78.8
NL,2019,79.7
NL,2020,80.1
NL,2021,80.6
NL,2022,81.5
NL,2023,82.2
NL,2024,82.3
NL,2025,82.5
PT,2009,69.5
PT,2010,70.7
PT,2011,72.1
PT,2012,72.4
PT,2013,72.7
PT,2014,73.7
PT,2015,74.3
PT,2016,74.9
PT,2017,76.2
PT,2018,77.2
PT,2019,77.6
PT,2020,76.6
PT,2021,78.1
PT,2022,79.4
PT,2023,80.8
PT,2024,81.2
PT,2025,82.3
