country,year,gdp_per_capita
DE,2024,56103.7323182554
DE,2023,54776.7668235491
DE,2022,50506.5179638543
DE,2021,52349.2459994422
DE,2020,47394.8734504469
DE,2019,47656.199739747
DE,2018,48916.1686612154
DE,2017,45553.9341495339
DE,2016,42948.9381932694
DE,2015,41929.7549110722
DE,2014,48959.5991203133
DE,2013,47206.8353514242
DE,2012,44718.0159214069
DE,2011,47630.9761883572
DE,2010,42396.9665976293
DE,2009,42471.8868625226
ES,2024,35326.7683069278
ES,2023,33493.2225409111
ES,2022,30319.4987196616
ES,2021,30799.4775937775
ES,2020,27233.9426461608
ES,2019,29786.5245689007
ES,2018,30602.4212881113
ES,2017,28381.3425596906
ES,2016,26755.6061149398
ES,2015,25982.4416197775
ES,2014,29707.765509467
ES,2013,29228.846559842
ES,2012,28456.4438151477
ES,2011,31824.6219134777
ES,2010,30658.7422282912
ES,2009,32279.8208476151
NL,2024,67465.3208126875
NL,2023,63515.6030780019
NL,2022,59123.318556487
NL,2021,60141.9880911492
NL,2020,53467.9277413737
NL,2019,53554.9007491475
NL,2018,53955.0770024266
NL,2017,49513.6817346384
NL,2016,46808.5291492503
NL,2015,45793.8135434697
NL,2014,53457.2234864322
NL,2013,52602.2860520766
NL,2012,50473.9442002689
NL,2011,54701.7728030611
NL,2010,51305.7338533973
NL,2009,53172.0261581418
PT,2024,29328.3067415343
PT,2023,27634.6183139773
PT,2022,24620.5197587181
PT,2021,24711.4510062111
PT,2020,22299.4044062173
PT,2019,23343.3628970034
PT,2018,23541.1401075289
PT,2017,21442.3842768879
PT,2016,19980.2808866516
PT,2015,19215.7813014347
PT,2014,22120.6850127107
PT,2013,21676.4859642714
PT,2012,20593.4274224109
PT,2011,23246.5425416481
PT,2010,22551.935098809
PT,2009,23151.2154130712
