country,year,gender_pay_gap_%
DE,2009,22.6
DE,2010,22.3
DE,2011,22.4
DE,2012,22.7
DE,2013,22.1
DE,2014,22.3
DE,2015,21.8
DE,2016,21.1
DE,2017,20.4
DE,2018,20.1
DE,2019,19.2
DE,2020,18.3
DE,2021,17.6
DE,2022,17.7
DE,2023,17.6
DE,2024,15.6
ES,2009,16.7
ES,2010,16.2
ES,2011,17.6
ES,2012,18.7
ES,2013,17.8
ES,2014,14.9
ES,2015,14.1
ES,2016,14.8
ES,2017,13.5
ES,2018,11.9
ES,2019,9.6
ES,2020,9.3
ES,2021,9.3
ES,2022,9.2
ES,2023,7.3
ES,2024,7.3
NL,2009,18.5
NL,2010,17.8
NL,2011,18.8
NL,2012,18.0
NL,2013,17.2
NL,2014,17.0
NL,2015,16.1
NL,2016,15.6
NL,2017,15.1
NL,2018,14.7
NL,2019,14.9
NL,2020,14.7
NL,2021,14.3
NL,2022,14.0
NL,2023,12.5
NL,2024,11.2
PT,2009,10.0
PT,2010,12.8
PT,2011,12.9
PT,2012,15.0
PT,2013,13.3
PT,2014,14.9
PT,2015,16.0
PT,2016,13.9
PT,2017,10.8
PT,2018,8.9
PT,2019,9.4
PT,2020,8.3
PT,2021,7.1
PT,2022,6.3
PT,2023,8.6
PT,2024,7.0
