country,sex,year,part-time_employment_%
DE,Female,2009,45.5
DE,Female,2010,45.9
DE,Female,2011,45.9
DE,Female,2012,45.7
DE,Female,2013,47.1
DE,Female,2014,46.7
DE,Female,2015,47.0
DE,Female,2016,46.9
DE,Female,2017,46.8
DE,Female,2018,46.7
DE,Female,2019,47.1
DE,Female,2020,48.1
DE,Female,2021,47.5
DE,Female,2022,47.1
DE,Female,2023,47.9
DE,Female,2024,48.3
DE,Female,2025,48.7
ES,Female,2009,22.0
ES,Female,2010,22.4
ES,Female,2011,22.6
ES,Female,2012,23.7
ES,Female,2013,25.0
ES,Female,2014,25.3
ES,Female,2015,24.9
ES,Female,2016,23.9
ES,Female,2017,23.9
ES,Female,2018,23.6
ES,Female,2019,23.4
ES,Female,2020,22.5
ES,Female,2021,22.1
ES,Female,2022,21.3
ES,Female,2023,20.6
ES,Female,2024,20.9
ES,Female,2025,20.9
NL,Female,2009,73.6
NL,Female,2010,74.8
NL,Female,2011,75.1
NL,Female,2012,75.5
NL,Female,2013,75.6
NL,Female,2014,75.2
NL,Female,2015,75.3
NL,Female,2016,74.8
NL,Female,2017,74.1
NL,Female,2018,73.8
NL,Female,2019,73.4
NL,Female,2020,73.8
NL,Female,2021,62.5
NL,Female,2022,61.3
NL,Female,2023,61.2
NL,Female,2024,61.2
NL,Female,2025,60.8
PT,Female,2009,13.0
PT,Female,2010,12.3
PT,Female,2011,13.5
PT,Female,2012,13.9
PT,Female,2013,13.7
PT,Female,2014,12.4
PT,Female,2015,12.4
PT,Female,2016,11.9
PT,Female,2017,11.5
PT,Female,2018,10.3
PT,Female,2019,10.7
PT,Female,2020,9.9
PT,Female,2021,9.0
PT,Female,2022,8.8
PT,Female,2023,9.7
PT,Female,2024,9.5
PT,Female,2025,9.2
DE,Male,2009,8.3
DE,Male,2010,8.3
DE,Male,2011,8.5
DE,Male,2012,8.6
DE,Male,2013,8.8
DE,Male,2014,8.9
DE,Male,2015,9.0
DE,Male,2016,9.0
DE,Male,2017,9.3
DE,Male,2018,9.3
DE,Male,2019,9.5
DE,Male,2020,9.8
DE,Male,2021,10.2
DE,Male,2022,10.5
DE,Male,2023,11.0
DE,Male,2024,11.3
DE,Male,2025,11.6
ES,Male,2009,4.4
ES,Male,2010,4.9
ES,Male,2011,5.6
ES,Male,2012,6.3
ES,Male,2013,7.5
ES,Male,2014,7.5
ES,Male,2015,7.6
ES,Male,2016,7.4
ES,Male,2017,6.9
ES,Male,2018,6.4
ES,Male,2019,6.5
ES,Male,2020,6.2
ES,Male,2021,6.1
ES,Male,2022,6.1
ES,Male,2023,6.0
ES,Male,2024,6.1
ES,Male,2025,6.3
NL,Male,2009,19.3
NL,Male,2010,20.1
NL,Male,2011,20.1
NL,Male,2012,20.7
NL,Male,2013,22.1
NL,Male,2014,22.2
NL,Male,2015,22.4
NL,Male,2016,22.1
NL,Male,2017,22.6
NL,Male,2018,23.0
NL,Male,2019,23.3
NL,Male,2020,24.3
NL,Male,2021,17.9
NL,Male,2022,18.4
NL,Male,2023,18.9
NL,Male,2024,18.7
NL,Male,2025,19.0
PT,Male,2009,4.2
PT,Male,2010,4.9
PT,Male,2011,6.9
PT,Male,2012,8.2
PT,Male,2013,8.1
PT,Male,2014,7.5
PT,Male,2015,6.9
PT,Male,2016,6.7
PT,Male,2017,5.9
PT,Male,2018,5.4
PT,Male,2019,5.2
PT,Male,2020,4.8
PT,Male,2021,4.5
PT,Male,2022,4.3
PT,Male,2023,4.3
PT,Male,2024,4.6
PT,Male,2025,4.5
