STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,indic_em,Employment indicator,sex,Sex,age,Age class,unit,Unit of measure,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:LFSI_EMP_A(1.0),Employment and labour force by sex and age - annual data,A,Annual,ACT,Persons in the labour force,F,Females,Y20-64,From 20 to 64 years,PC_POP,Percentage of total population,AT,Austria,2009,,71.7,,,,,
dataflow,ESTAT:LFSI_EMP_A(1.0),Employment and labour force by sex and age - annual data,A,Annual,ACT,Persons in the labour force,F,Females,Y20-64,From 20 to 64 years,PC_POP,Percentage of total population,AT,Austria,2010,,72.1,,,,,
dataflow,ESTAT:LFSI_EMP_A(1.0),Employment and labour force by sex and age - annual data,A,Annual,ACT,Persons in the labour force,F,Females,Y20-64,From 20 to 64 years,PC_POP,Percentage of total population,AT,Austria,2011,,72.4,,,,,
dataflow,ESTAT:LFSI_EMP_A(1.0),Employment and labour force by sex and age - annual data,A,Annual,ACT,Persons in the labour force,F,Females,Y20-64,From 20 to 64 years,PC_POP,Percentage of total population,AT,Austria,2012,,73.1,,,,,
dataflow,ESTAT:LFSI_EMP_A(1.0),Employment and labour force by sex and age - annual data,A,Annual,ACT,Persons in the labour force,F,Females,Y20-64,From 20 to 64 years,PC_POP,Percentage of total population,AT,Austria,2013,,73.9,,,,,
dataflow,ESTAT:LFSI_EMP_A(1.0),Employment and labour force by sex and age - annual data,A,Annual,ACT,Persons in the labour force,F,Females,Y20-64,From 20 to 64 years,PC_POP,Percentage of total population,AT,Austria,2014,,74.1,,,,,
dataflow,ESTAT:LFSI_EMP_A(1.0),Employment and labour force by sex and age - annual data,A,Annual,ACT,Persons in the labour force,F,Females,Y20-64,From 20 to 64 years,PC_POP,Percentage of total population,AT,Austria,2015,,74.1,,,,,
dataflow,ESTAT:LFSI_EMP_A(1.0),Employment and labour force by sex and age - annual data,A,Annual,ACT,Persons in the labour force,F,Females,Y20-64,From 20 to 64 years,PC_POP,Percentage of total population,AT,Austria,2016,,75.0,,,,,
dataflow,ESTAT:LFSI_EMP_A(1.0),Employment and labour force by sex and age - annual data,A,Annual,ACT,Persons in the labour force,F,Females,Y20-64,From 20 to 64 years,PC_POP,Percentage of total population,AT,Austria,2017,,75.2,,,,,
dataflow,ESTAT:LFSI_EMP_A(1.0),Employment and labour force by sex and age - annual data,A,Annual,ACT,Persons in the labour force,F,Females,Y20-64,From 20 to 64 years,PC_POP,Percentage of total population,AT,Austria,2018,,75.2,,,,,
dataflow,ESTAT:LFSI_EMP_A(1.0),Employment and labour force by sex and age - annual data,A,Annual,ACT,Persons in the labour force,F,Females,Y20-64,From 20 to 64 years,PC_POP,Percentage of total population,AT,Austria,2019,,75.8,,,,,
dataflow,ESTAT:LFSI_EMP_A(1.0),Employment and labour force by sex and age - annual data,A,Annual,ACT,Persons in the labour force,F,Females,Y20-64,From 20 to 64 years,PC_POP,Percentage of total population,AT,Austria,2020,,74.8,,,,,
dataflow,ESTAT:LFSI_EMP_A(1.0),Employment and labour force by sex and age - annual data,A,Annual,ACT,Persons in the labour force,F,Females,Y20-64,From 20 to 64 years,PC_POP,Percentage of total population,AT,Austria,2021,,75.8,,,,,
dataflow,ESTAT:LFSI_EMP_A(1.0),Employment and labour force by sex and age - annual data,A,Annual,ACT,Persons in the labour force,F,Females,Y20-64,From 20 to 64 years,PC_POP,Percentage of total population,AT,Austria,2022,,76.6,,,,,
dataflow,ESTAT:LFSI_EMP_A(1.0),Employment and labour force by sex and age - annual data,A,Annual,ACT,Persons in the labour force,F,Females,Y20-64,From 20 to 64 years,PC_POP,Percentage of total population,AT,Austria,2023,,76.8,,,,,
dataflow,ESTAT:LFSI_EMP_A(1.0),Employment and labour force by sex and age - annual data,A,Annual,ACT,Persons in the labour force,F,Females,Y20-64,From 20 to 64 years,PC_POP,Percentage of total population,AT,Austria,2024,,77.3,,,,,
dataflow,ESTAT:LFSI_EMP_A(1.0),Employment and labour force by sex and age - annual data,A,Annual,ACT,Persons in the labour force,F,Females,Y20-64,From 20 to 64 years,PC_POP,Percentage of total population,AT,Austria,2025,,78.2,,,,,
dataflow,ESTAT:LFSI_EMP_A(1.0),Employment and labour force by sex and age - annual data,A,Annual,ACT,Persons in the labour force,F,Females,Y20-64,From 20 to 64 years,PC_POP,Percentage of total population,BA,Bosnia and Herzegovina,2021,,50.0,,,,,
dataflow,ESTAT:LFSI_EMP_A(1.0),Employment and labour force by sex and age - annual data,A,Annual,ACT,Persons in the labour force,F,Females,Y20-64,From 20 to 64 years,PC_POP,Percentage of total population,BA,Bosnia and Herzegovina,2022,,49.8,,,,,
dataflow,ESTAT:LFSI_EMP_A(1.0),Employment and labour force by sex and age - annual data,A,Annual,ACT,Persons in the labour force,F,Females,Y20-64,From 20 to 64 years,PC_POP,Percentage of total population,BA,Bosnia and Herzegovina,2023,,50.6,,,,,
